cve_ent,cve_ent,cve_ent
21207,21207,31
21208,21208,38
21209,21209,4
2121,2121,1
21210,21210,2
21211,21211,7
21212,21212,5
21213,21213,3
21214,21214,9
21215,21215,1
21217,21217,1
2122,2122,8
2124,2124,1
2125,2125,6
2126,2126,5
2127,2127,4
213,213,30
2130,2130,2
2131,2131,2
2132,2132,5
2133,2133,2
2134,2134,26
2135,2135,14
2137,2137,3
2138,2138,4
214,214,10
2140,2140,1
2141,2141,62
2143,2143,14
2144,2144,7
2145,2145,20
2146,2146,3
2147,2147,19
2148,2148,20
2149,2149,2
215,215,5
2150,2150,1
2151,2151,50
2153,2153,33
2154,2154,12
2155,2155,2
2156,2156,1
2157,2157,2
2158,2158,4
2159,2159,1
216,216,3
2160,2160,4
2162,2162,7
2163,2163,3
2164,2164,7
2165,2165,4
2167,2167,7
2168,2168,1
2169,2169,7
217,217,4
2170,2170,3
2171,2171,102
2172,2172,8
2173,2173,15
2174,2174,68
2175,2175,3
2176,2176,13
2177,2177,1
2178,2178,1
2179,2179,1
218,218,4
2181,2181,2
2182,2182,3
2183,2183,5
2184,2184,1
2185,2185,95
2186,2186,3
2187,2187,1
2188,2188,1
2189,2189,4
219,219,1
2190,2190,11
2191,2191,12
2192,2192,1
2193,2193,3
2194,2194,12
2196,2196,2
2198,2198,5
2199,2199,3
22,22,2341
221,221,13
2210,2210,3
2211,2211,119
2212,2212,45
2213,2213,3
2214,2214,1776
2215,2215,2
2216,2216,239
2217,2217,51
2218,2218,8
222,222,4
223,223,1
224,224,51
225,225,21
226,226,113
227,227,20
228,228,12
229,229,7
23,23,173
231,231,85
2310,2310,7
2311,2311,9
232,232,53
233,233,20
234,234,244
235,235,1001
236,236,27
237,237,21
238,238,173
239,239,18
24,24,2396
241,241,18
2410,2410,27
2411,2411,51
2412,2412,5
2413,2413,260
2414,2414,15
2415,2415,26
2416,2416,18
2417,2417,11
2418,2418,5
2419,2419,9
242,242,5
2420,2420,124
2421,2421,50
2422,2422,9
2423,2423,16
2424,2424,119
2425,2425,31
2426,2426,2
2427,2427,17
2428,2428,2035
2429,2429,5
243,243,11
2430,2430,4
2431,2431,5
2432,2432,42
2433,2433,10
2434,2434,8
2435,2435,331
2436,2436,40
2437,2437,101
2438,2438,7
2439,2439,4
244,244,6
2440,2440,33
2441,2441,3
2442,2442,5
2443,2443,9
2444,2444,5
2445,2445,19
2446,2446,12
